2026-09-06 22:52:39,484 | INFO | src.trainer.history | File logging initialized: /app/logs/exp_new_aug_20260907/experiment.log
2026-09-06 22:52:39,484 | INFO | __main__ | Experiment started at 2026-09-06 22:52:39
2026-09-06 22:52:39,509 | INFO | __main__ | Starting mode=simulation client_id=0 with config=configs/texture.yaml device=cuda
simulation-0 | WARNING flwr 2026-09-06 22:52:39,668 | logger.py:226 | DEPRECATED FEATURE: flwr.simulation.start_simulation() is deprecated.
	Instead, use the `flwr run` CLI command to start a local simulation in your Flower app, as shown for example below:

		$ flwr new  # Create a new Flower app from a template

		$ flwr run  # Run the Flower app in Simulation Mode

	Using `start_simulation()` is deprecated.

            This is a deprecated feature. It will be removed
            entirely in future versions of Flower.
        
2026-09-06 22:52:39,668 | WARNING | flwr | DEPRECATED FEATURE: flwr.simulation.start_simulation() is deprecated.
	Instead, use the `flwr run` CLI command to start a local simulation in your Flower app, as shown for example below:

		$ flwr new  # Create a new Flower app from a template

		$ flwr run  # Run the Flower app in Simulation Mode

	Using `start_simulation()` is deprecated.

            This is a deprecated feature. It will be removed
            entirely in future versions of Flower.
        
simulation-0 | INFO flwr 2026-09-06 22:52:39,669 | legacy_app.py:241 | Starting Flower simulation, config: num_rounds=100, no round_timeout
2026-09-06 22:52:39,669 | INFO | flwr | Starting Flower simulation, config: num_rounds=100, no round_timeout
simulation-0 | INFO flwr 2026-09-06 22:52:43,077 | legacy_app.py:264 | Flower VCE: Ray initialized with resources: {'node:__internal_head__': 1.0, 'CPU': 20.0, 'node:172.17.0.2': 1.0, 'memory': 123285191680.0, 'object_store_memory': 10000000000.0, 'accelerator_type:RTX': 1.0, 'GPU': 1.0}
2026-09-06 22:52:43,077 | INFO | flwr | Flower VCE: Ray initialized with resources: {'node:__internal_head__': 1.0, 'CPU': 20.0, 'node:172.17.0.2': 1.0, 'memory': 123285191680.0, 'object_store_memory': 10000000000.0, 'accelerator_type:RTX': 1.0, 'GPU': 1.0}
simulation-0 | INFO flwr 2026-09-06 22:52:43,078 | legacy_app.py:270 | Optimize your simulation with Flower VCE: https://flower.ai/docs/framework/how-to-run-simulations.html
2026-09-06 22:52:43,078 | INFO | flwr | Optimize your simulation with Flower VCE: https://flower.ai/docs/framework/how-to-run-simulations.html
simulation-0 | INFO flwr 2026-09-06 22:52:43,078 | legacy_app.py:293 | Flower VCE: Resources for each Virtual Client: {'num_cpus': 2, 'num_gpus': 0.5}
2026-09-06 22:52:43,078 | INFO | flwr | Flower VCE: Resources for each Virtual Client: {'num_cpus': 2, 'num_gpus': 0.5}
simulation-0 | INFO flwr 2026-09-06 22:52:43,100 | legacy_app.py:339 | Flower VCE: Creating VirtualClientEngineActorPool with 2 actors
2026-09-06 22:52:43,100 | INFO | flwr | Flower VCE: Creating VirtualClientEngineActorPool with 2 actors
simulation-0 | INFO flwr 2026-09-06 22:52:43,100 | server.py:91 | [INIT]
2026-09-06 22:52:43,100 | INFO | flwr | [INIT]
simulation-0 | INFO flwr 2026-09-06 22:52:43,100 | server.py:276 | Requesting initial parameters from one random client
2026-09-06 22:52:43,100 | INFO | flwr | Requesting initial parameters from one random client
simulation-0 | INFO flwr 2026-09-06 22:52:48,536 | server.py:283 | Received initial parameters from one random client
2026-09-06 22:52:48,536 | INFO | flwr | Received initial parameters from one random client
simulation-0 | INFO flwr 2026-09-06 22:52:48,536 | server.py:93 | Starting evaluation of initial global parameters
2026-09-06 22:52:48,536 | INFO | flwr | Starting evaluation of initial global parameters
simulation-0 | INFO flwr 2026-09-06 22:52:48,536 | server.py:105 | Evaluation returned no results (`None`)
2026-09-06 22:52:48,536 | INFO | flwr | Evaluation returned no results (`None`)
simulation-0 | INFO flwr 2026-09-06 22:52:48,537 | server.py:111 | 
2026-09-06 22:52:48,537 | INFO | flwr | 
simulation-0 | INFO flwr 2026-09-06 22:52:48,537 | server.py:112 | [ROUND 1]
2026-09-06 22:52:48,537 | INFO | flwr | [ROUND 1]
simulation-0 | INFO flwr 2026-09-06 22:52:48,537 | server.py:221 | configure_fit: strategy sampled 10 clients (out of 10)
2026-09-06 22:52:48,537 | INFO | flwr | configure_fit: strategy sampled 10 clients (out of 10)
simulation-0 | INFO flwr 2026-09-06 23:02:57,576 | server.py:235 | aggregate_fit: received 10 results and 0 failures
2026-09-06 23:02:57,576 | INFO | flwr | aggregate_fit: received 10 results and 0 failures
2026-09-06 23:02:57,968 | INFO | src.trainer.history | Round 1 fit metrics saved at 2026-09-06 23:02:57: {'train_image_f1': 0.8481671266560662, 'val_loss': 1.446165490377267, 'val_accuracy': 0.4481278795278795, 'train_precision': 0.8063516978472653, 'val_recall': 0.43143174603174594, 'val_image_precision': 0.4311428571428571, 'train_loss': 0.8795456312340256, 'train_recall': 0.7851479757279758, 'train_image_precision': 0.8768659976093719, 'train_image_recall': 0.8458781218781218, 'val_precision': 0.45073659120614545, 'val_f1': 0.401650224647099, 'train_image_accuracy': 0.8571428571428571, 'lr': 0.00010000000000000003, 'val_image_f1': 0.4174672946101517, 'val_image_recall': 0.46981684981684985, 'train_f1': 0.7854309620651965, 'train_accuracy': 0.7939487179487178, 'val_image_accuracy': 0.4785347985347985}
simulation-0 | INFO flwr 2026-09-06 23:02:57,968 | server.py:175 | configure_evaluate: strategy sampled 10 clients (out of 10)
2026-09-06 23:02:57,968 | INFO | flwr | configure_evaluate: strategy sampled 10 clients (out of 10)
simulation-0 | INFO flwr 2026-09-06 23:03:26,254 | server.py:189 | aggregate_evaluate: received 10 results and 0 failures
2026-09-06 23:03:26,254 | INFO | flwr | aggregate_evaluate: received 10 results and 0 failures
2026-09-06 23:03:26,257 | INFO | src.trainer.history | Round 1 evaluation metrics saved at 2026-09-06 23:03:26: loss=1.277784879948329 metrics={'test_image_recall': 0.32556634304207116, 'test_image_precision': 0.28721682847896435, 'test_image_f1': 0.28827554322699955, 'test_accuracy': 0.37588996763754046, 'test_image_accuracy': 0.33980582524271846, 'test_f1': 0.3351369755411016, 'test_precision': 0.39341077161745686, 'test_recall': 0.3660970873786408}
simulation-0 | INFO flwr 2026-09-06 23:03:26,257 | server.py:111 | 
2026-09-06 23:03:26,257 | INFO | flwr | 
simulation-0 | INFO flwr 2026-09-06 23:03:26,257 | server.py:112 | [ROUND 2]
2026-09-06 23:03:26,257 | INFO | flwr | [ROUND 2]
simulation-0 | INFO flwr 2026-09-06 23:03:26,258 | server.py:221 | configure_fit: strategy sampled 10 clients (out of 10)
2026-09-06 23:03:26,258 | INFO | flwr | configure_fit: strategy sampled 10 clients (out of 10)
simulation-0 | INFO flwr 2026-09-06 23:13:30,204 | server.py:235 | aggregate_fit: received 10 results and 0 failures
2026-09-06 23:13:30,204 | INFO | flwr | aggregate_fit: received 10 results and 0 failures
